path	bytes	lines	commits	bug_commits	commits_per_kloc	bugs_per_kloc	bugs_per_commit	cognitive_complexity	complexity_per_kloc	fan_in	fan_out	committers
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/OwnerJwtPrincipal.java	2411	62	1	0	16.13	0.00	0.000	8	129.03	3	2	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/ChatHistory.java	1753	50	1	0	20.00	0.00	0.000	2	40.00	1	1	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/TokenCostMeter.java	3496	84	1	0	11.90	0.00	0.000	6	71.43	1	0	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/RemoteToolsConfig.java	3410	63	1	0	15.87	0.00	0.000	3	47.62	1	1	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/LocalTools.java	2210	49	1	0	20.41	0.00	0.000	2	40.82	1	0	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/RagIngestion.java	5974	150	1	0	6.67	0.00	0.000	21	140.00	0	0	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/Assistant.java	12311	229	1	0	4.37	0.00	0.000	2	8.73	1	5	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/diagram/AgentStateDiagram.java	5207	129	1	0	7.75	0.00	0.000	26	201.55	0	0	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/ServiceHealth.java	233	4	1	0	250.00	0.00	0.000	0	0.00	2	1	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterGuard.java	5729	139	1	0	7.19	0.00	0.000	10	71.94	5	3	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/MetricsSnapshot.java	238	6	1	0	166.67	0.00	0.000	0	0.00	2	0	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/ProcessControl.java	909	24	1	0	41.67	0.00	0.000	0	0.00	4	2	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/RealProcessControl.java	3408	87	1	0	11.49	0.00	0.000	6	68.97	2	2	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterAgent.java	8233	179	1	0	5.59	0.00	0.000	18	100.56	1	10	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterController.java	1637	38	1	0	26.32	0.00	0.000	0	0.00	0	1	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/HealthProbe.java	3524	90	1	0	11.11	0.00	0.000	7	77.78	1	3	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/GrafanaFindings.java	698	17	1	0	58.82	0.00	0.000	0	0.00	2	0	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/RestartResult.java	874	18	1	0	55.56	0.00	0.000	0	0.00	2	2	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/GrafanaClient.java	4241	108	1	0	9.26	0.00	0.000	6	55.56	1	1	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/triage/TriageController.java	1418	35	1	0	28.57	0.00	0.000	0	0.00	0	1	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/triage/PetTriageAgent.java	4509	101	1	0	9.90	0.00	0.000	4	39.60	1	0	1
petclinic-backend/src/main/java/victor/training/petclinic/security/Roles.java	288	11	1	0	90.91	0.00	0.000	0	0.00	0	0	1
petclinic-backend/src/main/java/victor/training/petclinic/mcp/McpTomcatCustomizer.java	1943	42	1	0	23.81	0.00	0.000	3	71.43	0	0	1
petclinic-backend/src/main/java/victor/training/petclinic/domain/Vet.java	1049	47	1	0	21.28	0.00	0.000	0	0.00	3	1	1
petclinic-backend/src/main/java/victor/training/petclinic/domain/Pet.java	1907	67	1	0	14.93	0.00	0.000	0	0.00	7	3	1
petclinic-backend/src/main/java/victor/training/petclinic/domain/User.java	738	37	1	0	27.03	0.00	0.000	1	27.03	4	1	1
petclinic-backend/src/main/java/victor/training/petclinic/domain/Specialty.java	448	22	1	0	45.45	0.00	0.000	0	0.00	6	0	1
petclinic-backend/src/main/java/victor/training/petclinic/domain/Owner.java	2609	95	1	0	10.53	0.00	0.000	1	10.53	5	1	1
petclinic-backend/src/main/java/victor/training/petclinic/domain/Role.java	550	26	1	0	38.46	0.00	0.000	0	0.00	2	1	1
petclinic-backend/src/main/java/victor/training/petclinic/domain/Visit.java	785	34	1	0	29.41	0.00	0.000	0	0.00	6	1	1
petclinic-backend/src/main/java/victor/training/petclinic/domain/PetType.java	368	19	1	0	52.63	0.00	0.000	0	0.00	6	0	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/SpecialtyFeedController.java	1516	36	1	0	27.78	0.00	0.000	1	27.78	0	2	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/VetDto.java	1108	37	1	0	27.03	0.00	0.000	0	0.00	2	1	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/PetDto.java	1449	46	1	0	21.74	0.00	0.000	0	0.00	4	2	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/PetFieldsDto.java	769	29	1	0	34.48	0.00	0.000	0	0.00	2	1	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/RoleDto.java	372	16	1	0	62.50	0.00	0.000	0	0.00	1	0	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/VetFieldsDto.java	838	29	1	0	34.48	0.00	0.000	0	0.00	1	1	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/error/ValidationErrorExtractor.java	2806	74	1	0	13.51	0.00	0.000	22	297.30	1	0	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/error/ValidationErrorFieldExtractor.java	2118	53	1	0	18.87	0.00	0.000	19	358.49	1	0	1
petclinic-database/src/main/java/ro/victorrentea/petclinic/db/NetworkLatencyProxy.java	3330	114	1	0	8.77	0.00	0.000	11	96.49	1	0	1
