file	class_fqn	class_complexity	method_count
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/VetDto.java	victor.training.petclinic.rest.dto.VetDto	0	0
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/VetFieldsDto.java	victor.training.petclinic.rest.dto.VetFieldsDto	0	0
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/VisitDto.java	victor.training.petclinic.rest.dto.VisitDto	0	0
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/VisitFieldsDto.java	victor.training.petclinic.rest.dto.VisitFieldsDto	0	0
petclinic-backend/src/main/java/victor/training/petclinic/rest/error/ExceptionControllerAdvice.java	victor.training.petclinic.rest.error.ExceptionControllerAdvice	0	5
petclinic-backend/src/main/java/victor/training/petclinic/rest/error/ValidationErrorExtractor.java	victor.training.petclinic.rest.error.ValidationErrorExtractor	22	4
petclinic-backend/src/main/java/victor/training/petclinic/rest/error/ValidationErrorFieldExtractor.java	victor.training.petclinic.rest.error.ValidationErrorFieldExtractor	19	4
petclinic-backend/src/main/java/victor/training/petclinic/security/BasicAuthenticationConfig.java	victor.training.petclinic.security.BasicAuthenticationConfig	0	3
petclinic-backend/src/main/java/victor/training/petclinic/security/CorsConfig.java	victor.training.petclinic.security.CorsConfig	0	1
petclinic-backend/src/main/java/victor/training/petclinic/security/DisableSecurityConfig.java	victor.training.petclinic.security.DisableSecurityConfig	0	1
petclinic-backend/src/main/java/victor/training/petclinic/security/Roles.java	victor.training.petclinic.security.Roles	0	0
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/ChatbotApp.java	victor.training.petclinic.chatbot.ChatbotApp	0	3
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/Assistant.java	victor.training.petclinic.chatbot.assistant.Assistant	2	6
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/ChatHistory.java	victor.training.petclinic.chatbot.assistant.ChatHistory	2	3
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/ChatHistory.java	victor.training.petclinic.chatbot.assistant.ChatHistory$Entry	0	0
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/ChatHistory.java	victor.training.petclinic.chatbot.assistant.ChatHistory$StoredMessage	0	0
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/JudgeGuard.java	victor.training.petclinic.chatbot.assistant.JudgeGuard	3	7
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/JudgeGuard.java	victor.training.petclinic.chatbot.assistant.JudgeGuard$Verdict	0	0
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/LocalTools.java	victor.training.petclinic.chatbot.assistant.LocalTools	2	2
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/OwnerJwtPrincipal.java	victor.training.petclinic.chatbot.assistant.OwnerJwtPrincipal	8	4
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/RagIngestion.java	victor.training.petclinic.chatbot.assistant.RagIngestion	21	7
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/RagIngestion.java	victor.training.petclinic.chatbot.assistant.RagIngestion$Item	0	0
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/RagIngestion.java	victor.training.petclinic.chatbot.assistant.RagIngestion$Sidecar	0	0
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/RemoteToolsConfig.java	victor.training.petclinic.chatbot.assistant.RemoteToolsConfig	3	2
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/SecurityConfig.java	victor.training.petclinic.chatbot.assistant.SecurityConfig	0	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/SecurityConfig.java	victor.training.petclinic.chatbot.assistant.SecurityConfig$BearerAuthenticationFilter	1	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/TokenCostMeter.java	victor.training.petclinic.chatbot.assistant.TokenCostMeter	6	5
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/diagram/AgentStateDiagram.java	victor.training.petclinic.chatbot.diagram.AgentStateDiagram	26	4
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterAgent.java	victor.training.petclinic.chatbot.firefighter.FirefighterAgent	15	8
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterAgent.java	victor.training.petclinic.chatbot.firefighter.FirefighterAgent$Incident	0	0
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterAgent.java	victor.training.petclinic.chatbot.firefighter.FirefighterAgent$HealthSnapshot	3	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterAgent.java	victor.training.petclinic.chatbot.firefighter.FirefighterAgent$RecoveryOutcome	0	0
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterAgent.java	victor.training.petclinic.chatbot.firefighter.FirefighterAgent$IncidentReport	0	0
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterController.java	victor.training.petclinic.chatbot.firefighter.FirefighterController	0	2
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterGuard.java	victor.training.petclinic.chatbot.firefighter.FirefighterGuard	10	7
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/GrafanaClient.java	victor.training.petclinic.chatbot.firefighter.GrafanaClient	6	6
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/GrafanaFindings.java	victor.training.petclinic.chatbot.firefighter.GrafanaFindings	0	2
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/HealthProbe.java	victor.training.petclinic.chatbot.firefighter.HealthProbe	7	5
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/MetricsSnapshot.java	victor.training.petclinic.chatbot.firefighter.MetricsSnapshot	0	0
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/ProcessControl.java	victor.training.petclinic.chatbot.firefighter.ProcessControl	0	2
